model,outcome,n_rows,poisson_aic,nb_aic,poisson_dispersion,nb_dispersion,poisson_loglik,nb_loglik,lr_statistic,lr_p_value
Model 1,ped,70836,1895089.367891224,645012.1960958678,29.399642361008425,0.9230074311491541,-947479.683945612,-322441.0980479339,1250077.1717953563,0.0
Model 1,cyc,70836,837129.0320649828,497668.12165158417,13.338693293833028,1.0914339363371286,-418499.5160324914,-248769.06082579208,339460.91041339864,0.0
