model,outcome,n_rows,n_sensors,dispersion,dark_coef,dark_percent_change,dark_p_value
Model 1,cyc,70836,37,1.0914339363371985,-0.04046921599995651,-3.966127287619947,0.4461672016377394
Model 2,cyc,70836,37,1.06180721417942,-0.22896808438085306,-20.464608268726614,0.0014682994045039383
Model 3,cyc,70836,37,1.090960221384362,-0.04026410285110196,-3.946427457313173,0.44750819218782567
Model 4,cyc,70836,37,1.0877169303746776,-0.042169207923976014,-4.129245406636917,0.3555192117947297
Model 1,ped,70836,37,0.9230074311489126,-0.4048969518596928,-33.29544548801305,1.4777313641133257e-09
Model 2,ped,70836,37,0.919924033701367,-0.3945291263214729,-32.600266785632726,0.02296114150963414
Model 3,ped,70836,37,0.9220990329901831,-0.4051305531187035,-33.311025936051806,7.913928238186402e-10
Model 4,ped,70836,37,0.8780778381725111,-0.420142400713558,-34.30467374594565,2.0053919594045593e-09
