model,outcome,n_rows,n_sensors,dispersion,dark_coef,dark_percent_change,dark_p_value
Model 1,cyc,70836,37,1.0914339363371268,-0.040469215999952284,-3.9661272876195475,0.44616720163779133
Model 2,cyc,70836,37,1.061807214179512,-0.22896808438083743,-20.46460826872537,0.001468299404505209
Model 3,cyc,70836,37,1.0909602213843261,-0.040264102851100776,-3.946427457313062,0.44750819218783233
Model 4,cyc,70836,37,1.087716930374708,-0.04216920792397413,-4.1292454066367394,0.355519211794738
Model 1,ped,70836,37,0.9230074311490826,-0.40489695185968405,-33.29544548801246,1.4777313641113917e-09
Model 2,ped,70836,37,0.9199240337014997,-0.39452912632143616,-32.60026678563025,0.022961141509640043
Model 3,ped,70836,37,0.9220990329908841,-0.4051305531187111,-33.31102593605232,7.913928238076954e-10
Model 4,ped,70836,37,0.8780778381727355,-0.4201424007135749,-34.30467374594676,2.0053919593900435e-09
