Mode,control_type,control_hour,control_hour_label,case_hour,case_hour_label,A,B,C,D,R_odds,paired_rows
Pedestrians,Daylight,14,14:00-14:59,6,06:00-06:59,462758,110987,1568054,993855,2.642675480587659,13542
Pedestrians,Daylight,14,14:00-14:59,17,17:00-17:59,2156486,295902,2211598,350311,1.154373447247108,13542
Pedestrians,Daylight,14,14:00-14:59,18,18:00-18:59,1249607,564360,1694810,867099,1.1328303924537946,13542
Pedestrians,Daylight,14,14:00-14:59,19,19:00-19:59,678415,622258,1233737,1328172,1.1736988629609617,13542
Pedestrians,Daylight,14,14:00-14:59,20,20:00-20:59,342378,587022,820716,1741193,1.2373868185144596,13542
Cyclists,Dark,23,23:00-23:59,5,05:00-05:59,53051,58383,33571,62579,1.693836582186614,13542
Cyclists,Dark,23,23:00-23:59,6,06:00-06:59,192960,64350,51009,45141,2.653646723799029,13542
Cyclists,Dark,23,23:00-23:59,17,17:00-17:59,483330,81538,73906,22244,1.7840905235815663,13542
Cyclists,Dark,23,23:00-23:59,18,18:00-18:59,253845,139233,55163,40987,1.3546424708056526,13542
Cyclists,Dark,23,23:00-23:59,19,19:00-19:59,136791,147848,38421,57729,1.3901684910254908,13542
Cyclists,Dark,23,23:00-23:59,20,20:00-20:59,72715,148139,25915,70235,1.3303226131265278,13542
Cyclists,Dark,0,00:00-00:59,5,05:00-05:59,53051,58383,22534,43595,1.757946116950325,13542
Cyclists,Dark,0,00:00-00:59,6,06:00-06:59,192960,64350,34990,31139,2.668575277252024,13542
Cyclists,Dark,0,00:00-00:59,17,17:00-17:59,483330,81538,48593,17536,2.139146470845627,13542
Cyclists,Dark,0,00:00-00:59,18,18:00-18:59,253845,139233,36381,29748,1.4907663226628425,13542
Cyclists,Dark,0,00:00-00:59,19,19:00-19:59,136791,147848,25361,40768,1.4872880985720356,13542
Cyclists,Dark,0,00:00-00:59,20,20:00-20:59,72715,148139,17540,48589,1.3597622242255156,13542
Cyclists,Dark,1,01:00-01:59,5,05:00-05:59,53051,58383,19049,35098,1.6742386179570847,13542
Cyclists,Dark,1,01:00-01:59,6,06:00-06:59,192960,64350,28242,25905,2.750469840335977,13542
Cyclists,Dark,1,01:00-01:59,17,17:00-17:59,483330,81538,38350,15797,2.441703622690863,13542
Cyclists,Dark,1,01:00-01:59,18,18:00-18:59,253845,139233,29371,24776,1.5379382264964705,13542
Cyclists,Dark,1,01:00-01:59,19,19:00-19:59,136791,147848,21030,33117,1.4569806560402112,13542
Cyclists,Dark,1,01:00-01:59,20,20:00-20:59,72715,148139,14330,39817,1.3638824609317228,13542
Cyclists,Dark,2,02:00-02:59,5,05:00-05:59,53051,58383,17568,35564,1.8394815918948384,13542
Cyclists,Dark,2,02:00-02:59,6,06:00-06:59,192960,64350,26519,26613,3.009230326218115,13542
Cyclists,Dark,2,02:00-02:59,17,17:00-17:59,483330,81538,36303,16829,2.7478909417567614,13542
Cyclists,Dark,2,02:00-02:59,18,18:00-18:59,253845,139233,27546,25586,1.6934418375427285,13542
Cyclists,Dark,2,02:00-02:59,19,19:00-19:59,136791,147848,19453,33679,1.6018235395303801,13542
Cyclists,Dark,2,02:00-02:59,20,20:00-20:59,72715,148139,12779,40353,1.5500066344410235,13542
Cyclists,Daylight,9,09:00-09:59,5,05:00-05:59,53051,58383,99877,186499,1.6967512811770535,13542
Cyclists,Daylight,9,09:00-09:59,6,06:00-06:59,192960,64350,148460,137916,2.785633237838518,13542
Cyclists,Daylight,9,09:00-09:59,17,17:00-17:59,483330,81538,237850,48526,1.2093584287521293,13542
Cyclists,Daylight,9,09:00-09:59,18,18:00-18:59,253845,139233,170196,116180,1.244538843189906,13542
Cyclists,Daylight,9,09:00-09:59,19,19:00-19:59,136791,147848,115811,170565,1.36264327544953,13542
Cyclists,Daylight,9,09:00-09:59,20,20:00-20:59,72715,148139,76558,209818,1.3452616550648568,13542
Cyclists,Daylight,10,10:00-10:59,5,05:00-05:59,53051,58383,100770,119128,1.0742114058763437,13542
Cyclists,Daylight,10,10:00-10:59,6,06:00-06:59,192960,64350,139148,80750,1.740140447128681,13542
Cyclists,Daylight,10,10:00-10:59,17,17:00-17:59,483330,81538,191710,28188,0.8715718466976751,13542
Cyclists,Daylight,10,10:00-10:59,18,18:00-18:59,253845,139233,150426,69472,0.8420023957282939,13542
Cyclists,Daylight,10,10:00-10:59,19,19:00-19:59,136791,147848,113551,106347,0.8665155292847112,13542
Cyclists,Daylight,10,10:00-10:59,20,20:00-20:59,72715,148139,77383,142515,0.904002464421799,13542
Cyclists,Daylight,11,11:00-11:59,5,05:00-05:59,53051,58383,122506,124491,0.9233955197883952,13542
Cyclists,Daylight,11,11:00-11:59,6,06:00-06:59,192960,64350,166833,80164,1.4408413354521081,13542
Cyclists,Daylight,11,11:00-11:59,17,17:00-17:59,483330,81538,219074,27923,0.7555356059546681,13542
Cyclists,Daylight,11,11:00-11:59,18,18:00-18:59,253845,139233,176857,70140,0.7230526803206918,13542
Cyclists,Daylight,11,11:00-11:59,19,19:00-19:59,136791,147848,137053,109944,0.7422070196456296,13542
Cyclists,Daylight,11,11:00-11:59,20,20:00-20:59,72715,148139,94010,152987,0.7987945176553937,13542
Cyclists,Daylight,12,12:00-12:59,5,05:00-05:59,53051,58383,127295,145274,1.0370118438059661,13542
Cyclists,Daylight,12,12:00-12:59,6,06:00-06:59,192960,64350,175249,97320,1.665195739273185,13542
Cyclists,Daylight,12,12:00-12:59,17,17:00-17:59,483330,81538,238824,33745,0.8375585227064778,13542
Cyclists,Daylight,12,12:00-12:59,18,18:00-18:59,253845,139233,188623,83946,0.8113939996902214,13542
Cyclists,Daylight,12,12:00-12:59,19,19:00-19:59,136791,147848,143611,128958,0.8308117942441299,13542
Cyclists,Daylight,12,12:00-12:59,20,20:00-20:59,72715,148139,97260,175309,0.8847580993817321,13542
Cyclists,Daylight,13,13:00-13:59,5,05:00-05:59,53051,58383,127927,152556,1.083613095660548,13542
Cyclists,Daylight,13,13:00-13:59,6,06:00-06:59,192960,64350,176518,103965,1.766106541007673,13542
Cyclists,Daylight,13,13:00-13:59,17,17:00-17:59,483330,81538,243997,36486,0.886391259376185,13542
Cyclists,Daylight,13,13:00-13:59,18,18:00-18:59,253845,139233,190284,90199,0.8642231252472723,13542
Cyclists,Daylight,13,13:00-13:59,19,19:00-19:59,136791,147848,143814,136669,0.8792470529888247,13542
Cyclists,Daylight,13,13:00-13:59,20,20:00-20:59,72715,148139,97848,182635,0.9161923381909031,13542
Cyclists,Daylight,14,14:00-14:59,5,05:00-05:59,53051,58383,152100,164146,0.9806369591681451,13542
Cyclists,Daylight,14,14:00-14:59,6,06:00-06:59,192960,64350,209795,106451,1.5215048856384359,13542
Cyclists,Daylight,14,14:00-14:59,17,17:00-17:59,483330,81538,279234,37012,0.7857021717788477,13542
Cyclists,Daylight,14,14:00-14:59,18,18:00-18:59,253845,139233,222462,93784,0.7685981721759823,13542
Cyclists,Daylight,14,14:00-14:59,19,19:00-19:59,136791,147848,170200,146046,0.7939116618865604,13542
Cyclists,Daylight,14,14:00-14:59,20,20:00-20:59,72715,148139,116911,199335,0.8369177619373721,13542
