Cluster,Mode,MHw_OR,CI_low,CI_high,p_value,p_value_label,effect_size,direction,n_hour_pairs,hour_pairs_gt_1,hour_pairs_lt_1,min_pair_or,median_pair_or,max_pair_or
Central,Pedestrians,1.3854540417573282,1.3839571995808329,1.3869525028686447,0.0,<0.001,Small,relative reduction after dark,60,55,5,0.7966109965596985,1.4009555870342854,4.541337327516399
Central,Cars,1.0589307772047165,1.0577723371481984,1.0600904859495122,0.0,<0.001,Negligible,relative reduction after dark,60,30,30,0.7740344947345296,0.9971351387147922,2.2976846459508007
Central,Cyclists,1.370689735085767,1.367074089002172,1.374314943852692,0.0,<0.001,Small,relative reduction after dark,60,47,13,0.776509717159284,1.4735906244982528,5.3259609365496114
East,Pedestrians,1.3914694633370444,1.3894568424710347,1.3934849994737026,0.0,<0.001,Small,relative reduction after dark,60,60,0,1.029176817275903,1.5856608440740811,4.215050029400075
East,Cars,1.0838955925058331,1.0831618149144402,1.0846298671878236,0.0,<0.001,Negligible,relative reduction after dark,60,32,28,0.8176345554186446,1.0509002175600535,2.15262492573464
East,Cyclists,1.0459555190992285,1.0432616695599957,1.0486563245398919,1.3738683195858535e-255,<0.001,Negligible,relative reduction after dark,60,35,25,0.6551613575799796,1.1210157193787764,2.6448127560300256
Outlier,Pedestrians,1.3821098273305368,1.3788609806448875,1.38536632888853,0.0,<0.001,Small,relative reduction after dark,60,57,3,0.6848353906530045,1.4614294716917637,5.985922853387597
Outlier,Cars,1.0035433065847865,1.0012428699152254,1.0058490286941042,0.002520954577397134,0.003,Negligible,relative reduction after dark,60,30,30,0.7093520340564721,0.9779502451362511,2.656651272411497
Outlier,Cyclists,0.7348721045560572,0.7308178728608445,0.7389488272100284,0.0,<0.001,Small,relative increase after dark,60,10,50,0.3598933940764522,0.6983787169544229,1.7594471821662938
