MHw_OR,CI_low,CI_high,p_value,p_value_label,effect_size,direction,n_hour_pairs,Mode,case_hour,case_hour_label,control_hours_gt_1,control_hours_lt_1,min_control_or,median_control_or,max_control_or
2.206635462080034,2.199523037284044,2.213770885765157,0.0,<0.001,Medium,relative reduction after dark,10,Pedestrians,5,05:00-05:59,10,0,1.64796005505201,2.2777445056255035,3.0588486055640334
2.8472606060766963,2.83989578775028,2.8546445238888105,0.0,<0.001,Medium,relative reduction after dark,10,Pedestrians,6,06:00-06:59,10,0,2.1265953548059056,3.0648016284921145,4.007389959010347
1.1936971685948132,1.1912159747093602,1.1961835305801136,0.0,<0.001,Negligible,relative reduction after dark,10,Pedestrians,17,17:00-17:59,9,1,0.9378209069650093,1.2550496958652686,2.091817128348805
1.1677489453539085,1.1658701512918463,1.1696307670834376,0.0,<0.001,Negligible,relative reduction after dark,10,Pedestrians,18,18:00-18:59,9,1,0.9260391795325107,1.2619064662867985,1.682180425158443
1.217753179338331,1.2157379494355833,1.2197717497237563,0.0,<0.001,Negligible,relative reduction after dark,10,Pedestrians,19,19:00-19:59,9,1,0.9591012997034843,1.326710551501709,1.7260660250914124
1.2876900802584617,1.2852093029254614,1.2901756461159162,0.0,<0.001,Small,relative reduction after dark,10,Pedestrians,20,20:00-20:59,10,0,1.046924672464071,1.3839029280574182,1.7094173876608858
1.5224687822395384,1.520024608754634,1.5249168859134608,0.0,<0.001,Small,relative reduction after dark,10,Cars,5,05:00-05:59,10,0,1.3887709316594126,1.4660148725617608,1.8395425904086904
1.7251190368355143,1.722682007330359,1.7275595139373727,0.0,<0.001,Small,relative reduction after dark,10,Cars,6,06:00-06:59,10,0,1.5682572805727555,1.6614666152760704,2.1757101891450814
0.9891027995329431,0.987558958550759,0.9906490539861992,5.216693045409745e-43,<0.001,Negligible,relative increase after dark,10,Cars,17,17:00-17:59,4,6,0.9061816291142557,0.9594164078395143,1.2499753167155268
0.922827783637377,0.9216994204398794,0.9239575282000759,0.0,<0.001,Negligible,relative increase after dark,10,Cars,18,18:00-18:59,4,6,0.8566950169744132,0.8979414698631791,1.1259040968118716
0.860018137143525,0.8589825927120563,0.861054929973132,0.0,<0.001,Negligible,relative increase after dark,10,Cars,19,19:00-19:59,2,8,0.7968328356554402,0.843351723804056,1.0275453783918214
0.9307694241148818,0.9295092684545008,0.9320312881953317,0.0,<0.001,Negligible,relative increase after dark,10,Cars,20,20:00-20:59,4,6,0.8784737293734651,0.9142877505239091,1.0657869664290762
1.239399456715579,1.2332938967872111,1.245535242903994,0.0,<0.001,Small,relative reduction after dark,10,Cyclists,5,05:00-05:59,8,2,0.9233955197883937,1.3789258568088352,1.8394815918948884
1.9626066434625509,1.9542752380352597,1.9709735670783974,0.0,<0.001,Medium,relative reduction after dark,10,Cyclists,6,06:00-06:59,10,0,1.440841335452114,2.2098766324033665,3.0092303262181463
1.091039613187802,1.0858962363977935,1.096207351720597,5.227626457950516e-286,<0.001,Negligible,relative reduction after dark,10,Cyclists,17,17:00-17:59,5,5,0.7555356059546522,1.0478748440641477,2.747890941756702
0.9688440563314081,0.9651950653684007,0.9725068425732414,9.817682401182075e-61,<0.001,Negligible,relative increase after dark,10,Cyclists,18,18:00-18:59,5,5,0.7230526803206879,1.0543809842185883,1.6934418375427291
0.9898349254711043,0.9860444663608353,0.9936399555066782,1.794935851244603e-07,<0.001,Negligible,relative increase after dark,10,Cyclists,19,19:00-19:59,5,5,0.742207019645628,1.1209451642191786,1.6018235395304141
1.0100523352462187,1.0056924273649306,1.014431144330515,5.846556856909977e-06,<0.001,Negligible,relative reduction after dark,10,Cyclists,20,20:00-20:59,5,5,0.7987945176553913,1.1232574756587257,1.5500066344410954
