Mode,MHw_OR,CI_low,CI_high,p_value,p_value_label,effect_size,direction,n_hour_pairs,hour_pairs_gt_1,hour_pairs_lt_1,min_pair_or,median_pair_or,max_pair_or
Pedestrians,1.3866140447771653,1.3854915209218555,1.387737478100189,0.0,<0.001,Small,relative reduction after dark,60,57,3,0.9260391795325107,1.6566399709120951,4.007389959010347
Cars,1.0779067589655036,1.0773079172588915,1.0785059335494516,0.0,<0.001,Negligible,relative reduction after dark,60,34,26,0.7968328356554402,1.0461311812818566,2.1757101891450814
Cyclists,1.1546470212366582,1.1526562421232798,1.1566412386704426,0.0,<0.001,Negligible,relative reduction after dark,60,38,22,0.7230526803206879,1.357202347515602,3.0092303262181463
